Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
HII762                 |03 45 44.07|+24 04 26.8|Pleiades|133.0|14.23| 3.48|     |29.38| 3.84| 0.62| 0.53| 0.09|4052| 0.62|-3.15
HII761                 |03 45 44.41|+24 13 13.2|Pleiades|133.0|10.56| 1.54|G2   |29.90| 3.16| 1.09| 1.00| 1.01|5648| 0.94|-3.69
HII793                 |03 45 48.94|+23 51 10.3|Pleiades|133.0|14.27| 3.45|     |28.85| 0.90| 0.61| 0.52| 0.08|4030| 0.62|-3.66
HII799                 |03 45 50.48|+23 52 26.2|Pleiades|133.0|13.66| 3.37|     |29.40| 7.15| 0.71| 0.61| 0.14|4292| 0.66|-3.33
SK497                  |03 45 57.27|+25 11 12.9|Pleiades|133.0|16.29| 4.73|     |29.00| 0.83| 0.43| 0.38| 0.03|3732| 0.45|-3.09
HII870                 |03 46 02.76|+23 44 14.6|Pleiades|133.0|12.61| 3.24|     |29.30| 3.93| 0.86| 0.76| 0.34|4877| 0.70|-3.82
HII882                 |03 46 04.12|+23 24 19.9|Pleiades|133.0|12.78| 2.83|     |29.71| 0.58| 0.80| 0.70| 0.23|4615| 0.69|-3.23
HII879                 |03 46 06.49|+24 34 02.7|Pleiades|133.0|12.79| 2.56|     |29.02| 7.07| 0.77| 0.67| 0.20|4501| 0.69|-3.86
HII883                 |03 46 06.90|+24 33 46.1|Pleiades|133.0|13.05| 2.65|     |29.02| 7.04| 0.73| 0.63| 0.16|4354| 0.66|-3.76
HII890                 |03 46 07.50|+24 22 27.8|Pleiades|133.0|14.71| 3.73|     |29.07| 5.17| 0.57| 0.48| 0.07|3945| 0.62|-3.34
HII885                 |03 46 07.77|+24 52 00.5|Pleiades|133.0|12.08| 2.61|     |29.03| 6.83| 0.89| 0.79| 0.38|4967| 0.70|-4.14
HII906                 |03 46 09.89|+24 40 25.1|Pleiades|133.0|15.20| 4.49|     |29.56| 2.00| 0.59| 0.50| 0.07|3982| 0.62|-2.90
HII923                 |03 46 10.05|+23 20 24.1|Pleiades|133.0|10.15| 1.42|G0   |29.59| 2.85| 1.17| 1.09| 1.43|5877| 0.81|-4.15
HII916                 |03 46 11.75|+24 37 20.3|Pleiades|133.0|11.71| 2.05|     |29.27| 5.91| 0.92| 0.81| 0.45|5068| 0.70|-3.97
HII930                 |03 46 12.87|+24 03 15.8|Pleiades|133.0|14.20| 3.48|     |29.20| 1.39| 0.63| 0.53| 0.09|4066| 0.62|-3.35
HII975                 |03 46 17.99|+23 29 12.0|Pleiades|133.0|10.58| 1.96|     |29.30| 4.08| 1.13| 1.04| 1.23|5772| 0.94|-4.38
HII974                 |03 46 20.47|+24 47 07.7|Pleiades|133.0|13.96| 3.31|     |28.98| 6.58| 0.65| 0.55| 0.10|4118| 0.62|-3.62
HII996                 |03 46 22.67|+24 34 12.6|Pleiades|133.0|10.41| 1.42|G0   |29.60| 3.09| 1.11| 1.02| 1.12|5718| 0.94|-4.04
HCG219                 |03 46 25.38|+24 09 36.4|Pleiades|133.0|15.83| 4.58|     |29.11| 0.32| 0.50| 0.42| 0.04|3827| 0.57|-3.12
HII1015                |03 46 27.35|+25 08 08.0|Pleiades|133.0|10.52| 1.46|G1   |29.38| 1.72| 1.10| 1.00| 1.03|5663| 0.94|-4.22
HII1039                |03 46 27.78|+23 35 33.7|Pleiades|133.0|13.02| 3.08|     |29.80| 5.22| 0.78| 0.69| 0.21|4566| 0.69|-3.12
HII1032                |03 46 28.41|+24 26 02.1|Pleiades|133.0|11.10| 1.77|G8   |30.21| 1.32| 0.99| 0.88| 0.63|5319| 0.72|-3.17
HII1061                |03 46 31.18|+24 07 02.5|Pleiades|133.0|14.21| 3.75|     |29.56| 2.42| 0.66| 0.56| 0.11|4147| 0.66|-3.06
HII1081                |03 46 32.88|+23 18 19.2|Pleiades|133.0|14.61| 3.71|     |29.15| 6.80| 0.59| 0.49| 0.07|3972| 0.62|-3.30
HII1103                |03 46 35.33|+23 24 42.3|Pleiades|133.0|14.77| 3.93|     |29.24| 0.74| 0.59| 0.50| 0.07|3979| 0.62|-3.22
HII1094                |03 46 35.91|+23 58 01.3|Pleiades|133.0|14.02| 3.25|     |29.65| 5.45| 0.63| 0.54| 0.09|4075| 0.62|-2.90
HII1100                |03 46 37.27|+24 20 36.7|Pleiades|133.0|12.25| 2.73|     |29.92| 7.50| 0.87| 0.77| 0.35|4886| 0.70|-3.20
HII1095                |03 46 37.77|+24 44 51.7|Pleiades|133.0|11.83| 2.04|     |29.05| 0.87| 0.90| 0.80| 0.40|5002| 0.70|-4.14
HII1101                |03 46 38.78|+24 57 34.7|Pleiades|133.0|10.25| 1.34|F9   |29.42| 2.32| 1.14| 1.06| 1.29|5804| 0.94|-4.28
HII1110                |03 46 38.88|+24 31 13.2|Pleiades|133.0|13.29| 2.90|     |29.14| 7.96| 0.72| 0.62| 0.15|4322| 0.66|-3.62
HII1124                |03 46 39.38|+24 01 46.9|Pleiades|133.0|12.32| 2.34|     |29.52| 6.42| 0.83| 0.73| 0.28|4750| 0.69|-3.52
HII1136                |03 46 40.24|+23 29 52.0|Pleiades|133.0|12.18| 2.72|     |30.20| 0.52| 0.88| 0.78| 0.37|4932| 0.70|-2.95
HCG247                 |03 46 57.09|+23 15 02.4|Pleiades|133.0|15.47| 4.22|     |29.14| 1.21| 0.51| 0.43| 0.05|3850| 0.57|-3.13
HII1275                |03 47 01.42|+23 29 41.9|Pleiades|133.0|11.45| 1.95|K0   |29.05| 5.97| 0.93| 0.83| 0.49|5124| 0.70|-4.22
HII1280                |03 47 03.58|+24 09 35.0|Pleiades|133.0|14.56| 3.73|     |29.49| 0.30| 0.60| 0.50| 0.08|3994| 0.62|-2.98
HII1286                |03 47 03.77|+23 36 58.8|Pleiades|133.0|15.35| 4.64|     |29.38| 2.45| 0.58| 0.49| 0.07|3967| 0.62|-3.06
HII1298                |03 47 06.78|+23 42 54.6|Pleiades|133.0|12.33| 2.37|     |29.56| 7.63| 0.83| 0.73| 0.28|4751| 0.69|-3.48
HII1305                |03 47 07.35|+23 13 34.8|Pleiades|133.0|13.52| 3.01|     |29.41| 0.39| 0.70| 0.60| 0.13|4244| 0.66|-3.29
HII1306                |03 47 08.54|+23 42 38.9|Pleiades|133.0|13.51| 3.49|     |29.34| 2.65| 0.74| 0.65| 0.17|4417| 0.66|-3.49
HII1321                |03 47 09.44|+23 44 31.9|Pleiades|133.0|15.22| 4.45|     |29.21| 1.21| 0.58| 0.49| 0.07|3965| 0.62|-3.23
HII1332                |03 47 13.53|+23 42 51.5|Pleiades|133.0|12.53| 2.40|     |29.62| 8.18| 0.80| 0.71| 0.24|4651| 0.69|-3.34
HII1348                |03 47 18.06|+24 23 26.8|Pleiades|133.0|12.70| 2.83|K5   |29.14| 4.56| 0.79| 0.69| 0.22|4580| 0.69|-3.78
HII1355                |03 47 18.13|+24 02 11.5|Pleiades|133.0|14.02| 3.71|     |29.64| 2.09| 0.69| 0.59| 0.13|4227| 0.66|-3.04
HIP 17695              |03 47 23.35|-01 58 19.9|Field   | 16.0|11.59| 4.66|     |28.94| 3.88| 0.43| 0.37| 0.03|3714| 0.09|-3.14
HCG273                 |03 47 30.59|+24 22 14.0|Pleiades|133.0|15.87| 4.38|     |29.31| 2.78| 0.46| 0.40| 0.04|3773| 0.57|-2.85
HCG277                 |03 47 33.46|+23 41 33.0|Pleiades|133.0|15.74| 4.69|     |29.37| 0.60| 0.52| 0.44| 0.05|3866| 0.57|-2.93
HII1454                |03 47 33.68|+24 41 03.2|Pleiades|133.0|12.86| 2.62|     |29.21| 8.41| 0.76| 0.66| 0.19|4463| 0.69|-3.65
HII1512                |03 47 38.01|+23 28 05.0|Pleiades|133.0|13.51| 3.07|     |28.98| 8.37| 0.70| 0.61| 0.14|4268| 0.66|-3.74
HII1516                |03 47 40.37|+24 18 07.0|Pleiades|133.0|13.97| 3.51|     |29.94| 0.31| 0.67| 0.58| 0.12|4180| 0.66|-2.71
HII1514                |03 47 40.45|+24 21 52.5|Pleiades|133.0|10.51| 1.64|G5   |29.32| 3.25| 1.10| 1.01| 1.07|5687| 0.94|-4.30
HII1532                |03 47 41.18|+23 44 25.1|Pleiades|133.0|13.98| 3.29|     |29.48| 0.78| 0.64| 0.55| 0.10|4105| 0.62|-3.10
HII1531                |03 47 41.44|+23 58 19.0|Pleiades|133.0|13.58| 3.15|     |29.61| 0.48| 0.70| 0.61| 0.13|4260| 0.66|-3.10
HCG295                 |03 47 50.95|+24 30 18.8|Pleiades|133.0|16.13| 4.55|     |28.74| 1.41| 0.44| 0.38| 0.03|3738| 0.45|-3.36
HII1653                |03 47 59.73|+24 43 52.8|Pleiades|133.0|13.51| 3.41|K7   |29.64| 0.74| 0.72| 0.62| 0.15|4312| 0.66|-3.11
HII1756                |03 48 10.99|+23 30 25.3|Pleiades|133.0|14.10| 3.30|     |28.92| 1.15| 0.62| 0.53| 0.09|4056| 0.62|-3.62
HII1794                |03 48 17.12|+23 53 25.4|Pleiades|133.0|10.40| 1.34|F9   |29.05| 3.85| 1.11| 1.02| 1.12|5717| 0.94|-4.59
HII1785                |03 48 17.29|+24 30 15.9|Pleiades|133.0|14.29| 3.48|     |29.10| 5.60| 0.61| 0.52| 0.08|4031| 0.62|-3.41
HII1827                |03 48 22.77|+23 58 21.2|Pleiades|133.0|14.84| 4.21|     |29.33| 2.47| 0.62| 0.52| 0.09|4040| 0.62|-3.19
HII1883                |03 48 28.03|+23 18 02.8|Pleiades|133.0|12.66| 2.71|     |29.75| 0.23| 0.80| 0.71| 0.23|4636| 0.69|-3.20
HII1924                |03 48 34.51|+23 26 05.3|Pleiades|133.0|10.34| 1.34|F9   |29.48| 2.89| 1.12| 1.04| 1.19|5751| 0.94|-4.18
                       |03 48 47.71|+35 04 58.3|Field   | 42.0|14.19| 4.08|     |28.75| 3.42| 0.29| 0.27| 0.01|3505| 0.00|-2.93
HII2027                |03 48 48.95|+24 16 02.8|Pleiades|133.0|10.93| 1.95|K0   |29.47| 5.07| 1.03| 0.93| 0.79|5463| 0.72|-4.01
HII2034                |03 48 49.32|+23 58 38.4|Pleiades|133.0|12.65| 2.54|     |29.72| 0.55| 0.79| 0.70| 0.22|4600| 0.69|-3.21
HII2147                |03 49 06.11|+23 46 52.6|Pleiades|133.0|10.87| 1.95|K0   |30.65| 0.78| 1.04| 0.94| 0.83|5500| 0.72|-2.85
HII2193                |03 49 11.28|+23 33 18.9|Pleiades|133.0|14.23| 3.54|     |29.28| 1.42| 0.63| 0.53| 0.09|4069| 0.62|-3.27
HII2172                |03 49 11.73|+24 38 11.8|Pleiades|133.0|10.44| 1.34|F9   |29.35| 4.67| 1.11| 1.01| 1.08|5696| 0.94|-4.27
HII2208                |03 49 15.38|+24 34 02.2|Pleiades|133.0|14.42| 3.81|     |29.47| 0.40| 0.63| 0.54| 0.09|4073| 0.62|-3.08
HII2244                |03 49 20.59|+24 46 36.0|Pleiades|133.0|12.60| 2.56|     |30.04| 0.56| 0.80| 0.71| 0.23|4639| 0.69|-2.91
HII2284                |03 49 24.05|+23 50 21.4|Pleiades|133.0|11.35| 1.54|G2   |29.20| 5.82| 0.93| 0.83| 0.49|5126| 0.70|-4.07
HCG370                 |03 49 27.64|+24 31 54.2|Pleiades|133.0|15.97| 4.59|     |28.87| 0.54| 0.47| 0.40| 0.04|3788| 0.57|-3.31
HII2311                |03 49 28.74|+23 42 44.1|Pleiades|133.0|11.35| 1.54|G2   |28.86| 2.93| 0.93| 0.83| 0.49|5126| 0.70|-4.41
HCG372                 |03 49 33.03|+24 32 02.6|Pleiades|133.0|16.58| 4.72|     |29.10| 1.59| 0.39| 0.35| 0.02|3665| 0.45|-2.87
HII2341                |03 49 33.12|+23 47 43.5|Pleiades|133.0|10.93| 1.62|G4   |29.13| 4.88| 1.02| 0.91| 0.72|5411| 0.72|-4.32
HII2366                |03 49 36.54|+24 17 46.1|Pleiades|133.0|11.49| 1.54|G2   |28.90| 6.22| 0.91| 0.81| 0.43|5046| 0.70|-4.32
HII2407                |03 49 42.27|+24 27 47.0|Pleiades|133.0|12.19| 2.41|K3   |29.21| 7.29| 0.83| 0.74| 0.29|4764| 0.69|-3.84
SK293                  |03 49 58.34|+23 42 34.0|Pleiades|133.0|15.92| 4.24|     |29.29| 1.34| 0.44| 0.38| 0.03|3734| 0.45|-2.81
HII2548                |03 50 05.06|+24 07 26.3|Pleiades|133.0|14.03| 3.33|     |29.03| 6.44| 0.64| 0.54| 0.10|4093| 0.62|-3.54
HII2588                |03 50 12.40|+24 31 58.6|Pleiades|133.0|13.29| 2.90|     |29.25| 5.97| 0.72| 0.62| 0.15|4323| 0.66|-3.51
HII2644                |03 50 20.90|+24 28 00.3|Pleiades|133.0|11.09| 1.54|G2   |29.09| 5.07| 0.98| 0.88| 0.62|5304| 0.72|-4.29
HII2741                |03 50 34.57|+24 30 28.2|Pleiades|133.0|12.65| 2.45|     |29.43| 5.16| 0.79| 0.69| 0.22|4582| 0.69|-3.49
HII2786                |03 50 40.08|+23 55 59.0|Pleiades|133.0|10.29| 1.34|F9   |29.43| 2.17| 1.13| 1.05| 1.24|5780| 0.94|-4.25
HII2881                |03 50 54.32|+23 50 05.6|Pleiades|133.0|11.57| 2.15|K2   |29.95| 5.16| 0.93| 0.82| 0.47|5099| 0.70|-3.30
HII2880                |03 50 55.09|+24 11 50.9|Pleiades|133.0|11.75| 2.00|     |29.03| 6.28| 0.91| 0.80| 0.42|5035| 0.70|-4.18
HII2927                |03 51 05.58|+24 44 12.4|Pleiades|133.0|13.92| 3.36|     |29.39| 0.26| 0.66| 0.57| 0.11|4153| 0.66|-3.23
HCG424                 |03 51 19.07|+24 10 13.3|Pleiades|133.0|16.11| 4.59|     |29.27| 1.87| 0.45| 0.39| 0.03|3751| 0.45|-2.85
HII3019                |03 51 24.40|+24 05 14.7|Pleiades|133.0|13.53| 3.13|     |29.33| 5.47| 0.71| 0.61| 0.14|4279| 0.66|-3.39
HCG428                 |03 51 25.87|+24 47 38.9|Pleiades|133.0|15.83| 4.52|     |29.48| 0.31| 0.49| 0.41| 0.04|3814| 0.57|-2.73
HII3063                |03 51 29.94|+23 53 57.2|Pleiades|133.0|13.53| 3.05|     |29.66| 0.88| 0.70| 0.60| 0.13|4254| 0.66|-3.04
HII3096                |03 51 39.28|+24 32 56.2|Pleiades|133.0|12.09| 2.17|     |29.79| 4.21| 0.86| 0.76| 0.33|4849| 0.70|-3.31
HII3163                |03 51 53.39|+24 23 13.3|Pleiades|133.0|12.77| 2.77|     |29.83| 0.42| 0.79| 0.69| 0.22|4589| 0.69|-3.10
HII3179                |03 51 56.85|+23 54 07.1|Pleiades|133.0|10.05| 1.42|G0   |29.32| 4.86| 1.19| 1.12| 1.57|5950| 0.81|-4.46
HII3197                |03 52 02.24|+24 39 47.9|Pleiades|133.0|12.10| 2.91|     |30.19| 0.43| 0.92| 0.82| 0.45|5074| 0.70|-3.04
                       |03 54 11.34|+42 47 39.1|Field   | 68.0|14.49| 3.88|     |29.14| 0.74| 0.37| 0.33| 0.02|3629| 0.09|-2.78
                       |03 56 33.08|+31 57 24.8|Field   | 11.0|14.12| 5.18|     |28.10| 5.85| 0.13| 0.14| 0.00|3040| 0.00|-2.81
                       |03 57 33.94|+24 45 10.6|Field   | 28.0|12.64| 3.91|     |28.28| 0.86| 0.36| 0.32| 0.02|3609| 0.09|-3.60
2MASS J04000940+0818155|04 00 09.32|+08 18 13.7|Field   | 77.0| 9.80| 1.84|     |30.28| 0.80| 1.00| 0.92| 0.72|5398| 0.72|-3.16
HD 285281              |04 00 31.05|+19 35 20.9|Field   | 45.0|10.44| 2.83|     |29.74| 1.17| 0.76| 0.68| 0.20|4479| 0.68|-3.34
                       |04 01 24.72|+39 52 55.0|Field   | 38.0|11.98| 3.56|     |28.22|16.14| 0.54| 0.45| 0.06|3863| 0.54|-4.11
                       |04 02 24.10|+36 09 00.4|Field   | 26.0|14.23| 4.48|     |28.05|10.86| 0.21| 0.21| 0.01|3306| 0.00|-3.34
HD 25457               |04 02 36.74|-00 16 08.1|Field   | 19.0| 5.38| 1.08|F5   |29.74| 3.13| 1.26| 1.26| 2.33|6170| 0.88|-4.17
                       |04 03 01.00|+34 58 03.1|Field   | 33.0|14.46| 4.38|     |28.12| 1.06| 0.22| 0.22| 0.01|3352| 0.00|-3.34
HD 285372              |04 03 24.95|+17 24 26.0|Field   | 79.0|11.60| 2.80|     |30.63| 0.29| 0.77| 0.68| 0.20|4504| 0.68|-3.58
HD 285372              |04 03 24.95|+17 24 26.0|Field   |108.0|11.73| 2.93|     |29.60| 0.57| 0.93| 0.96| 0.37|4414| 0.58|-3.56
                       |04 07 30.96|+34 05 27.8|Field   | 26.0|14.56| 4.61|     |28.16|12.54| 0.18| 0.19| 0.01|3246| 0.00|-3.12
V1196 Tau              |04 08 13.01|+19 56 39.4|Field   | 58.0|13.08| 3.76|     |29.14| 3.02| 0.43| 0.49| 0.05|3709| 0.31|-3.16
                       |04 08 14.11|+40 07 32.1|Field   | 22.0|14.05| 4.58|     |28.47| 0.85| 0.19| 0.20| 0.01|3262| 0.00|-2.84
BD23:622               |04 08 36.20|+23 46 07.1|Hyades  | 46.0| 9.44| 2.12|     |28.63| 9.35| 0.89| 0.80| 0.40|4989| 0.70|-4.56
HD 281691              |04 09 09.84|+29 01 29.8|Field   | 75.0|10.79| 2.39|     |29.88| 2.65| 0.85| 0.76| 0.33|4830| 0.70|-3.28
V1306_Tau              |04 09 51.13|+24 46 21.1|Field   | 26.0|13.42| 4.17|     |28.21| 5.56| 0.26| 0.25| 0.01|3455| 0.00|-3.39
V1198 Tau              |04 12 51.22|+24 39 34.7|Field   |209.0|11.98| 1.86|G9   |30.22| 6.70| 1.01| 0.93| 0.73|5368| 1.00|-3.23
                       |04 13 31.33|+25 10 37.4|Field   | 42.0|14.61| 4.21|     |28.65| 2.22| 0.25| 0.24| 0.01|3435| 0.00|-2.91
VB 18                  |04 14 27.26|+12 26 07.2|Hyades  | 46.0| 8.03| 1.46|G1   |29.28| 8.69| 1.12| 1.05| 1.24|5758| 0.76|-4.40
VB 15                  |04 14 32.32|+23 34 29.8|Hyades  | 46.0| 8.05| 1.59|G3   |29.14| 8.48| 1.13| 1.06| 1.26|5764| 0.76|-4.54
                       |04 14 46.05|+38 16 03.9|Field   | 15.0|15.13| 5.35|     |27.37| 1.85| 0.12| 0.14| 0.00|2986| 0.00|-3.48
                       |04 14 53.49|+27 45 28.4|Field   |  9.3|12.62| 4.72|     |27.30|17.57| 0.17| 0.18| 0.00|3204| 0.00|-3.90
GJ 166C                |04 15 21.73|-07 39 17.4|Field   |  4.8|11.17| 5.21|     |28.02| 2.11| 0.20| 0.21| 0.01|3301| 0.00|-3.36
HD 284266              |04 15 22.93|+20 44 16.6|Field   | 85.0|10.84| 2.26|     |29.98| 1.82| 0.88| 0.79| 0.39|4950| 0.70|-3.26
HD 26913               |04 15 25.79|+06 11 58.7|Field   | 21.0| 6.94| 1.77|G8   |28.76| 7.15| 1.00| 0.92| 0.72|5397| 0.72|-4.63
                       |04 16 02.36|+33 25 30.2|Field   | 19.0|13.37| 4.44|     |28.18| 4.77| 0.21| 0.22| 0.01|3324| 0.00|-3.24
HD 26990               |04 16 16.49|+07 09 34.1|Field   | 35.0| 7.50| 1.42|G0   |28.31|12.80| 1.10| 1.03| 1.13|5697| 0.76|-5.29
VB 21                  |04 16 33.48|+21 54 26.9|Hyades  | 46.0| 9.14| 1.95|K0   |28.55|10.26| 0.93| 0.84| 0.50|5128| 0.70|-4.73
VA 106                 |04 17 28.01|+14 54 05.0|Hyades  | 46.0|14.46| 4.84|     |28.62| 2.35| 0.37| 0.32| 0.02|3625| 0.41|-3.28
VB 25                  |04 18 19.27|+16 05 18.0|Hyades  | 46.0| 9.61| 2.29|     |28.70|12.64| 0.87| 0.78| 0.36|4909| 0.70|-4.45
VB 153                 |04 18 21.99|+17 25 17.9|Hyades  | 46.0|10.03| 2.87|     |28.90| 9.57| 0.85| 0.76| 0.32|4805| 0.68|-4.19
VB 26                  |04 18 57.98|+19 54 24.1|Hyades  | 46.0| 8.62| 1.86|G9   |28.56| 9.39| 1.03| 0.94| 0.79|5457| 0.72|-4.92
VB 31                  |04 20 12.97|+19 14 00.5|Hyades  | 46.0| 7.47| 1.34|F9   |29.25| 5.44| 1.23| 1.21| 2.04|6095| 0.82|-4.65
VA 190                 |04 20 16.23|+15 41 57.3|Hyades  | 46.0|10.71| 1.64|G5   |29.54| 3.66| 0.66| 0.57| 0.11|4125| 0.65|-3.08
V652 Per               |04 20 24.12|+32 23 23.7|Field   |141.0|12.33| 2.73|K4   |29.68| 4.20| 0.84| 0.83| 0.32|4553| 0.62|-3.41
VB 43                  |04 23 22.85|+19 39 31.2|Hyades  | 46.0| 9.40| 2.25|     |28.58| 9.90| 0.91| 0.81| 0.44|5045| 0.70|-4.65
VB 173                 |04 23 25.28|+15 45 47.2|Hyades  | 46.0|10.52| 3.03|     |28.31|12.38| 0.79| 0.70| 0.22|4579| 0.68|-4.63
HD 285751              |04 23 41.33|+15 37 54.9|Field   |131.0|11.26| 2.45|     |30.33| 1.60| 1.06| 1.12| 0.68|4776| 0.64|-3.09
GH7-192                |04 23 50.90|+09 12 17.6|Hyades  | 46.0|12.88| 4.65|     |29.39| 5.33| 0.60| 0.51| 0.08|3971| 0.61|-3.08
VB 50                  |04 24 12.46|+14 45 29.5|Hyades  | 46.0| 7.62| 1.42|G0   |29.91| 7.10| 1.21| 1.17| 1.79|6015| 0.82|-3.93
VB 174                 |04 24 16.94|+18 00 10.5|Hyades  | 46.0| 9.98| 2.46|     |28.57|11.88| 0.82| 0.74| 0.28|4712| 0.68|-4.46
                       |04 24 21.51|+37 06 20.8|Field   | 13.0|14.57| 5.23|     |27.52| 1.05| 0.12| 0.14| 0.00|3023| 0.00|-3.37
VB 52                  |04 24 28.32|+16 53 10.2|Hyades  | 46.0| 7.80| 1.42|G0   |29.24| 7.96| 1.17| 1.11| 1.52|5891| 0.82|-4.53
VB 175                 |04 25 00.24|+16 59 05.6|Hyades  | 46.0|10.28| 2.45|     |28.25|10.82| 0.78| 0.69| 0.21|4524| 0.68|-4.66
GH7-204                |04 25 14.50|+18 58 25.0|Hyades  | 46.0|12.82| 4.11|     |28.61|10.84| 0.54| 0.46| 0.06|3869| 0.54|-3.72
VB 176                 |04 25 47.30|+18 01 03.7|Hyades  | 46.0| 9.01| 2.24|     |28.74| 8.46| 0.98| 0.88| 0.62|5292| 0.72|-4.64
VB 59                  |04 26 05.86|+15 31 27.6|Hyades  | 46.0| 7.49| 1.29|F8   |29.48| 4.98| 1.23| 1.20| 1.99|6080| 0.82|-4.41
VB 63                  |04 26 24.61|+16 51 12.0|Hyades  | 46.0| 8.08| 1.64|G5   |29.24| 7.73| 1.12| 1.05| 1.22|5747| 0.76|-4.43
HD 279788              |04 26 37.40|+38 45 02.2|Field   | 76.0|11.04| 2.51|     |30.21| 2.06| 0.83| 0.74| 0.28|4728| 0.68|-3.31
VB 64                  |04 26 40.12|+16 44 48.8|Hyades  | 46.0| 8.14| 1.54|G2   |29.03| 8.67| 1.11| 1.03| 1.15|5710| 0.76|-4.62
VA 404                 |04 26 42.70|+12 41 11.8|Hyades  | 46.0|10.48| 3.45|     |28.83|12.61| 0.84| 0.75| 0.30|4764| 0.68|-4.23
BD10:576               |04 26 48.10|+10 52 15.2|Hyades  | 46.0| 9.45| 2.57|     |28.55|10.40| 0.92| 0.82| 0.46|5078| 0.70|-4.70
VB 177                 |04 27 25.20|+14 15 38.9|Hyades  | 46.0|10.39| 2.68|     |28.82|12.78| 0.77| 0.68| 0.20|4487| 0.68|-4.07
VB 65                  |04 27 35.89|+15 35 21.1|Hyades  | 46.0| 7.42| 1.29|F8   |29.08| 5.87| 1.25| 1.22| 2.12|6124| 0.82|-4.83
VB 66                  |04 27 46.07|+11 44 11.1|Hyades  | 46.0| 7.49| 1.42|G0   |29.33| 5.30| 1.23| 1.20| 2.02|6090| 0.82|-4.56
HD 28237               |04 27 46.07|+11 44 11.1|Field   | 47.0| 7.49| 1.29|F8   |29.35| 5.30| 1.23| 1.22| 2.06|6085| 0.82|-4.55
VB 179                 |04 27 46.90|+14 25 04.1|Hyades  | 46.0| 9.49| 2.14|     |28.37| 9.70| 0.89| 0.79| 0.39|4957| 0.70|-4.80
VA 486                 |04 28 28.78|+17 41 45.4|Hyades  | 46.0|12.10| 4.39|     |29.49| 2.42| 0.70| 0.61| 0.13|4234| 0.65|-3.21
VB 69                  |04 28 37.21|+19 44 26.5|Hyades  | 46.0| 8.64| 1.77|G8   |28.88|11.52| 1.01| 0.92| 0.74|5419| 0.72|-4.58
VB 73                  |04 28 48.30|+17 17 07.7|Hyades  | 46.0| 7.82| 1.46|G1   |29.15| 7.41| 1.17| 1.11| 1.51|5886| 0.82|-4.61
VA 512                 |04 28 59.97|+16 20 45.9|Hyades  | 46.0|14.26| 4.89|     |29.43| 8.80| 0.41| 0.35| 0.03|3684| 0.41|-2.56
VB 79                  |04 29 31.61|+17 53 35.5|Hyades  | 46.0| 8.94| 1.95|K0   |28.72|11.38| 0.97| 0.87| 0.60|5261| 0.72|-4.65
VB 182                 |04 30 34.90|+15 44 02.4|Hyades  | 46.0| 9.01| 2.19|     |28.40| 8.73| 0.97| 0.88| 0.61|5277| 0.72|-4.97
                       |04 31 00.01|+36 47 54.8|Field   | 13.0|13.29| 4.69|     |27.74|13.26| 0.17| 0.18| 0.00|3216| 0.00|-3.48
HD 284496              |04 31 16.86|+21 50 25.3|Field   |133.0|10.84| 2.11|     |30.07| 2.71| 1.06| 1.13| 0.90|5099| 0.68|-3.47
VA 677                 |04 32 25.61|+13 06 47.5|Hyades  | 46.0|11.03| 3.38|     |29.68| 1.48| 0.74| 0.65| 0.17|4388| 0.65|-3.14
HD 285840              |04 32 42.44|+18 55 09.3|Field   | 98.0|10.74| 2.05|     |29.87| 1.56| 0.94| 0.85| 0.53|5159| 0.70|-3.26
VB 91                  |04 32 50.11|+16 00 20.9|Hyades  | 46.0| 8.92| 2.15|     |28.76| 9.36| 0.99| 0.90| 0.66|5334| 0.72|-4.64
1RXS J043258.3+154851  |04 32 59.43|+15 49 08.4|Field   | 27.0|10.75| 3.81|     |28.69| 3.07| 0.42| 0.72| 0.10|3674| 0.00|-3.90
VB 92                  |04 32 59.45|+15 49 08.3|Hyades  | 46.0| 8.66| 1.77|G8   |28.48| 9.04| 1.01| 0.92| 0.73|5408| 0.72|-4.97
L74                    |04 33 23.50|+23 59 25.4|Hyades  | 46.0|12.62| 4.59|     |29.70|17.55| 0.63| 0.54| 0.09|4051| 0.61|-2.86
HD 28495               |04 33 54.27|+64 37 59.6|Field   | 28.0| 7.75| 1.42|G0   |29.54| 7.00| 0.95| 0.86| 0.56|5199| 0.70|-3.80
L79                    |04 34 10.99|+11 33 28.4|Hyades  | 46.0|11.73| 3.67|     |29.05|11.03| 0.66| 0.57| 0.11|4126| 0.65|-3.57
VB 97                  |04 34 35.31|+15 30 16.6|Hyades  | 46.0| 7.92| 1.46|G1   |28.89| 8.55| 1.15| 1.08| 1.38|5822| 0.76|-4.83
VA 776                 |04 35 48.50|+13 17 16.8|Hyades  | 46.0|14.91| 5.04|     |28.51|13.36| 0.33| 0.30| 0.02|3562| 0.00|-3.28
                       |04 36 08.66|+27 33 23.0|Field   | 26.0|14.59| 4.62|     |28.26| 2.60| 0.18| 0.19| 0.00|3242| 0.00|-3.02
VB 102                 |04 37 31.98|+15 08 47.2|Hyades  | 46.0| 7.54| 1.46|G1   |29.30| 6.46| 1.23| 1.19| 1.95|6067| 0.82|-4.57
